2022-04-18 02:44:35,651 Epoch 2 | Batch 360/600 | loss 2.894460 | avg_loss 3.015333
2022-04-18 02:44:37,047 Epoch 2 | Batch 370/600 | loss 2.897937 | avg_loss 3.012542
2022-04-18 02:44:38,364 Epoch 2 | Batch 380/600 | loss 2.841310 | avg_loss 3.009627
2022-04-18 02:44:39,968 Epoch 2 | Batch 390/600 | loss 3.073421 | avg_loss 3.009677
2022-04-18 02:44:40,736 Epoch 2 | Batch 400/600 | loss 2.506967 | avg_loss 3.006043
2022-04-18 02:44:42,247 Epoch 2 | Batch 410/600 | loss 2.811093 | avg_loss 3.004346
2022-04-18 02:44:44,063 Epoch 2 | Batch 420/600 | loss 3.101028 | avg_loss 3.002494
2022-04-18 02:44:44,436 Epoch 2 | Batch 430/600 | loss 2.697694 | avg_loss 3.000830
2022-04-18 02:44:46,044 Epoch 2 | Batch 440/600 | loss 3.081169 | avg_loss 3.001304
2022-04-18 02:44:47,356 Epoch 2 | Batch 450/600 | loss 2.965237 | avg_loss 3.001006
2022-04-18 02:44:48,670 Epoch 2 | Batch 460/600 | loss 2.932720 | avg_loss 2.998717
2022-04-18 02:44:49,764 Epoch 2 | Batch 470/600 | loss 3.031243 | avg_loss 2.997020
2022-04-18 02:44:50,858 Epoch 2 | Batch 480/600 | loss 2.614024 | avg_loss 2.994931
2022-04-18 02:44:51,259 Epoch 2 | Batch 490/600 | loss 3.166952 | avg_loss 2.994655
2022-04-18 02:44:52,436 Epoch 2 | Batch 500/600 | loss 2.886317 | avg_loss 2.994553
2022-04-18 02:44:54,149 Epoch 2 | Batch 510/600 | loss 2.874646 | avg_loss 2.993945
2022-04-18 02:44:55,336 Epoch 2 | Batch 520/600 | loss 2.879326 | avg_loss 2.993615
2022-04-18 02:44:56,336 Epoch 2 | Batch 530/600 | loss 3.068014 | avg_loss 2.992433
2022-04-18 02:44:57,661 Epoch 2 | Batch 540/600 | loss 3.056184 | avg_loss 2.991498
2022-04-18 02:44:59,371 Epoch 2 | Batch 550/600 | loss 2.895737 | avg_loss 2.988726
2022-04-18 02:45:00,565 Epoch 2 | Batch 560/600 | loss 2.722759 | avg_loss 2.987767
2022-04-18 02:45:01,638 Epoch 2 | Batch 570/600 | loss 3.259586 | avg_loss 2.987597
2022-04-18 02:45:02,153 Epoch 2 | Batch 580/600 | loss 2.822615 | avg_loss 2.986669
2022-04-18 02:45:02,948 Epoch 2 | Batch 590/600 | loss 2.788066 | avg_loss 2.985806
2022-04-18 02:45:06,261 Epoch 3 | Batch 0/600 | loss 3.008767 | avg_loss 3.008767
2022-04-18 02:45:07,361 Epoch 3 | Batch 10/600 | loss 3.049281 | avg_loss 2.863580
2022-04-18 02:45:08,350 Epoch 3 | Batch 20/600 | loss 2.966692 | avg_loss 2.907305
2022-04-18 02:45:09,637 Epoch 3 | Batch 30/600 | loss 2.782155 | avg_loss 2.918129
2022-04-18 02:45:10,758 Epoch 3 | Batch 40/600 | loss 3.062328 | avg_loss 2.906868
2022-04-18 02:45:12,873 Epoch 3 | Batch 50/600 | loss 2.721307 | avg_loss 2.889868
2022-04-18 02:45:14,260 Epoch 3 | Batch 60/600 | loss 2.933979 | avg_loss 2.892875
2022-04-18 02:45:14,544 Epoch 3 | Batch 70/600 | loss 3.116446 | avg_loss 2.888453
2022-04-18 02:45:15,652 Epoch 3 | Batch 80/600 | loss 2.961190 | avg_loss 2.893510
2022-04-18 02:45:17,037 Epoch 3 | Batch 90/600 | loss 3.075833 | avg_loss 2.893074
2022-04-18 02:45:18,653 Epoch 3 | Batch 100/600 | loss 2.848777 | avg_loss 2.893178
2022-04-18 02:45:20,149 Epoch 3 | Batch 110/600 | loss 3.060772 | avg_loss 2.892178
2022-04-18 02:45:21,336 Epoch 3 | Batch 120/600 | loss 3.003485 | avg_loss 2.893485
2022-04-18 02:45:22,259 Epoch 3 | Batch 130/600 | loss 3.014091 | avg_loss 2.893870
2022-04-18 02:45:23,440 Epoch 3 | Batch 140/600 | loss 3.038733 | avg_loss 2.895842
2022-04-18 02:45:24,446 Epoch 3 | Batch 150/600 | loss 2.695289 | avg_loss 2.896532
2022-04-18 02:45:25,152 Epoch 3 | Batch 160/600 | loss 2.877316 | avg_loss 2.893857
2022-04-18 02:45:26,651 Epoch 3 | Batch 170/600 | loss 2.748321 | avg_loss 2.893203
2022-04-18 02:45:28,347 Epoch 3 | Batch 180/600 | loss 2.958322 | avg_loss 2.894980
2022-04-18 02:45:30,051 Epoch 3 | Batch 190/600 | loss 2.707144 | avg_loss 2.890496
2022-04-18 02:45:31,357 Epoch 3 | Batch 200/600 | loss 2.793009 | avg_loss 2.889317
2022-04-18 02:45:32,436 Epoch 3 | Batch 210/600 | loss 2.892548 | avg_loss 2.882889
2022-04-18 02:45:33,169 Epoch 3 | Batch 220/600 | loss 3.160299 | avg_loss 2.884523
2022-04-18 02:45:34,153 Epoch 3 | Batch 230/600 | loss 2.983987 | avg_loss 2.884206
2022-04-18 02:45:35,347 Epoch 3 | Batch 240/600 | loss 2.842920 | avg_loss 2.885232
2022-04-18 02:45:37,379 Epoch 3 | Batch 250/600 | loss 2.780328 | avg_loss 2.880072
2022-04-18 02:45:38,236 Epoch 3 | Batch 260/600 | loss 2.888363 | avg_loss 2.879289
2022-04-18 02:45:39,658 Epoch 3 | Batch 270/600 | loss 2.969276 | avg_loss 2.880554
2022-04-18 02:45:40,251 Epoch 3 | Batch 280/600 | loss 2.769193 | avg_loss 2.878787
2022-04-18 02:45:41,468 Epoch 3 | Batch 290/600 | loss 2.716053 | avg_loss 2.879168
2022-04-18 02:45:42,636 Epoch 3 | Batch 300/600 | loss 2.951718 | avg_loss 2.876385
2022-04-18 02:45:43,736 Epoch 3 | Batch 310/600 | loss 2.767602 | avg_loss 2.873770
2022-04-18 02:45:44,450 Epoch 3 | Batch 320/600 | loss 2.808335 | avg_loss 2.873115
2022-04-18 02:45:45,566 Epoch 3 | Batch 330/600 | loss 2.727698 | avg_loss 2.874440
2022-04-18 02:45:46,655 Epoch 3 | Batch 340/600 | loss 2.745053 | avg_loss 2.873499
2022-04-18 02:45:48,450 Epoch 3 | Batch 350/600 | loss 2.712890 | avg_loss 2.873131
2022-04-18 02:45:49,736 Epoch 3 | Batch 360/600 | loss 2.667410 | avg_loss 2.873140
2022-04-18 02:45:50,749 Epoch 3 | Batch 370/600 | loss 2.967879 | avg_loss 2.873609
2022-04-18 02:45:51,751 Epoch 3 | Batch 380/600 | loss 2.878845 | avg_loss 2.874097
2022-04-18 02:45:52,936 Epoch 3 | Batch 390/600 | loss 2.637597 | avg_loss 2.872006
2022-04-18 02:45:53,953 Epoch 3 | Batch 400/600 | loss 2.950148 | avg_loss 2.871805
